,idCat,nombreCat,nivel1,nivel2,nivel3,tipo_arbol,# codigo,descripcion,folder_id
132,141.0,LECHE EN POLVO,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
133,144.0,LECHE PASTEURIZADA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
134,161.0,LECHE ULTRAPASTEURIZADA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
135,164.0,PRODUCTO LACTEO,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
136,150.0,QUESO OAXACA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
137,153.0,QUESO PANELA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
138,160.0,YOGHURT,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
139,929.0,COMBINADO PRIMAVERA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",PRODUCTOS EN REFRIGERACION,111_arbol,,,data20220913
140,919.0,GRANOS DE ELOTE,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",PRODUCTOS EN REFRIGERACION,111_arbol,,,data20220913
141,3.0,MAIZ POZOLERO,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",PRODUCTOS EN REFRIGERACION,111_arbol,,,data20220913
142,923.0,MEZCLA CAMPESINA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",PRODUCTOS EN REFRIGERACION,111_arbol,,,data20220913
143,86.0,LONGANIZA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",SALCHICHONERIA,111_arbol,,,data20220913
144,83.0,SALCHICHA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",SALCHICHONERIA,111_arbol,,,data20220913
145,81.0,TOCINO AHUMADO,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",SALCHICHONERIA,111_arbol,,,data20220913
